Vp,Bulk,MS,Porosity,Resistivity,Species
3653.25,2.33,5750.9,20,0.42,CorAlg
3632.93,2.41,5430.8,15,0.42,CorAlg
3696.34,2.43,4892.7,14,0.41,CorAlg
3728.87,2.42,2129.6,14,0.47,CorAlg
3632.36,2.44,2321.5,13,0.46,CorAlg
3707.12,2.46,2555.6,12,0.48,CorAlg
3856.88,2.51,2821.9,8,0.49,CorAlg
3774.5,2.45,2613.8,12,0.46,CorAlg
3762.8,2.4,2318.6,15,0.48,CorAlg
3853.53,2.43,2048.7,13,0.51,CorAlg
3985.66,2.45,1861.8,12,0.55,CorAlg
3960.97,2.41,1756.4,15,0.56,CorAlg
3882.35,2.46,1690.5,12,0.51,CorAlg
3931.86,2.44,1673.4,13,0.46,CorAlg
3872.43,2.47,1670.7,11,0.45,CorAlg
3780.99,2.44,3012.8,13,0.48,CorAlg
3849.16,2.44,2858,13,0.52,CorAlg
3903.01,2.46,2287.3,11,0.56,CorAlg
3743.38,2.46,4346.4,12,0.44,CorAlg
3904.24,2.5,5188.6,9,0.42,CorAlg
3927.73,2.5,6030.8,9,0.4,CorAlg
3892.29,2.48,6728.9,10,0.36,CorAlg
3776.13,2.41,7455.9,15,0.34,CorAlg
3375.8,2.34,8167.2,19,0.36,CorAlg
3457.86,2.38,8147.4,17,0.36,CorAlg
3458.4,2.34,7911.9,19,0.35,CorAlg
3305.61,2.33,7469.8,20,0.37,CorAlg
3323.41,2.35,6879,18,0.4,CorAlg
3248.09,2.33,6176.4,20,0.42,CorAlg
3283.14,2.36,5432.7,18,0.42,CorAlg
3328.63,2.33,4709.5,20,0.39,CorAlg
3349.4,2.3,6144.1,21,0.35,CorAlg
3524.81,2.35,7102.7,18,0.34,CorAlg
3488.01,2.36,7838.3,18,0.35,CorAlg
3526.46,2.38,8008.6,16,0.41,CorAlg
3450.38,2.3,7349.1,21,0.46,CorAlg
3331.42,2.34,5991.8,19,0.47,CorAlg
3437.33,2.35,4392.1,18,0.48,CorAlg
3764.36,2.48,4658.9,11,0.41,CorAlg
3698.08,2.37,4455.1,17,0.4,CorAlg
3791.13,2.4,2871.4,15,0.49,CorAlg
3802.81,2.4,3273.1,16,0.45,CorAlg
3704.11,2.38,3418.1,17,0.43,CorAlg
3721.1,2.38,3455.2,17,0.42,CorAlg
3632.47,2.22,3464.4,27,0.43,CorAlg
3711.07,2.44,3442.8,13,0.44,CorAlg
3738.04,2.34,2729.1,19,0.47,CorAlg
3785.71,2.35,2415.3,18,0.48,CorAlg
3880.9,2.48,2048.8,11,0.49,CorAlg
4117.38,2.61,1730.9,3,0.51,CorAlg
3832.04,2.42,2260.2,14,0.59,CorAlg
3890.57,2.45,2778.3,12,0.59,CorAlg
3912.41,2.43,3045.2,13,0.58,CorAlg
3808.76,2.39,3095.9,16,0.56,CorAlg
3823.04,2.47,3075.8,11,0.55,CorAlg
3868.99,2.42,3229.7,14,0.56,CorAlg
3810.54,2.44,3213.2,13,0.57,CorAlg
3810.54,2.44,2915.1,13,0.54,CorAlg
3808.17,2.42,3043.2,14,0.53,CorAlg
3741.71,2.23,3267,26,0.51,CorAlg
3630.3,2.39,1875.6,16,0.49,CorAlg
3401.27,2.27,2722.9,24,0.46,CorAlg
3425.23,2.27,2930.5,23,0.49,CorAlg
3631.73,2.38,1458.8,17,0.57,CorAlg
3708.41,2.39,1229.9,16,0.57,CorAlg
3995.03,2.39,2887.9,16,0.68,CorAlg
4121.23,2.39,2708.8,16,0.66,CorAlg
4203.4,2.49,2692.4,10,0.67,CorAlg
4139,2.42,2820.7,14,0.72,CorAlg
3949.66,2.42,2969.1,14,0.88,CorAlg
3913.63,2.46,3307.5,12,0.67,CorAlg
3914.23,2.44,3206,13,0.58,CorAlg
3881.86,2.4,2877.4,15,0.58,CorAlg
4021.2,2.47,2331.8,11,0.56,CorAlg
3874.62,2.36,1583.5,18,0.58,CorAlg
4203.4,2.45,1584.2,12,0.58,CorAlg
4122.52,2.42,1560.8,14,0.58,CorAlg
3847.21,2.41,1559.5,15,0.66,CorAlg
4039.65,2.5,1515.9,9,0.72,CorAlg
4239.76,2.54,1460.1,7,0.79,CorAlg
4239.76,2.52,1420.5,8,0.84,CorAlg
4157.38,2.5,1405,9,0.87,CorAlg
3989.44,2.39,1386.2,16,0.91,CorAlg
