Vp,Bulk,MS,Porosity,Resistivity,Species
3944.14,2.38,1066.9,17,0.56,EncrCoral
3885.73,2.39,1149,16,0.56,EncrCoral
3768.87,2.41,1072.1,15,0.62,EncrCoral
3631.34,2.28,1012.4,23,0.61,EncrCoral
3692.66,2.34,960.7,19,0.61,EncrCoral
3941.25,2.42,993.3,14,0.62,EncrCoral
4027.52,2.42,1035.2,14,0.63,EncrCoral
3974.75,2.4,1043,15,0.62,EncrCoral
3894.58,2.32,988.3,20,0.61,EncrCoral
3977.43,2.42,1937.7,14,0.45,EncrCoral
4199.48,2.53,2015.3,7,0.53,EncrCoral
4310.21,2.61,2087.4,3,0.55,EncrCoral
4411.89,2.54,2078.6,7,0.56,EncrCoral
4352.43,2.51,1916.9,8,0.54,EncrCoral
4279.66,2.51,1737.8,8,0.52,EncrCoral
4321.29,2.52,1712.2,8,0.51,EncrCoral
4221.06,2.56,1909.2,5,0.5,EncrCoral
4178.76,2.48,2291.7,11,0.51,EncrCoral
4138.55,2.47,2361.2,11,0.51,EncrCoral
4060.42,2.48,2455.9,10,0.5,EncrCoral
3985.18,2.43,2632.7,13,0.48,EncrCoral
4035.65,2.51,2840.6,9,0.46,EncrCoral
4139.19,2.53,2935.1,7,0.45,EncrCoral
4125.96,2.5,2868.5,9,0.46,EncrCoral
3918.13,2.45,1000,13,0.55,EncrCoral
4144.32,2.52,871.8,8,0.56,EncrCoral
4198.18,2.46,825.6,12,0.56,EncrCoral
4078.92,2.42,818.6,14,0.51,EncrCoral
3917.53,2.34,799.5,19,0.55,EncrCoral
3894.52,2.42,860.2,14,0.62,EncrCoral
4040.65,2.48,967.3,10,1.17,EncrCoral
3871.18,2.26,1132.8,24,1.29,EncrCoral
3700.12,2.4,3332.9,15,0.47,EncrCoral
3743.04,2.41,3197.2,15,0.48,EncrCoral
3798.12,2.44,2909.3,13,0.48,EncrCoral
4112.23,2.44,477.7,13,0.6,MassCoral
3999.13,2.35,452.8,19,0.61,MassCoral
3921.81,2.33,495.2,20,0.6,MassCoral
3691.56,2.32,83.6,20,0.77,MassCoral
3812.62,2.39,74,16,0.62,MassCoral
3930.36,2.47,62.4,11,0.53,MassCoral
3904.4,2.43,51.4,13,0.48,MassCoral
3880.57,2.39,48,16,0.48,MassCoral
3915.19,2.32,54.9,21,0.51,MassCoral
3519.76,2.18,125.3,29,0.76,MassCoral
3883.89,2.36,318.6,18,0.67,MassCoral
3848.07,2.3,265.3,22,0.6,MassCoral
3272.19,2.11,331.6,33,0.82,MassCoral
3453.14,2.2,224.2,28,0.81,MassCoral
3774.4,2.24,64.9,25,0.57,MassCoral
3938.72,2.27,122.8,24,0.61,MassCoral
3747.11,2.37,372.6,17,0.62,MassCoral
3908.19,2.42,389.5,14,0.58,MassCoral
3980.45,2.42,618.7,14,1.47,MassCoral
4058.55,2.44,934.7,13,1.32,MassCoral
4176.75,2.53,1026.2,8,1.41,MassCoral
3904.53,2.41,278.1,15,1.17,MassCoral
4081.5,2.51,169.5,9,1.2,MassCoral
3725.66,2.28,132.8,23,0.46,MassCoral
3769.45,2.33,78.3,20,0.48,MassCoral
3723.9,2.31,49,21,0.5,MassCoral
3734.89,2.34,47.6,19,0.5,MassCoral
3700.94,2.34,56.8,19,0.51,MassCoral
3658.13,2.27,79.9,23,0.52,MassCoral
3575.41,2.15,116.3,31,0.54,MassCoral
3605.42,2.25,167.5,25,0.55,MassCoral
3690.73,2.35,217.8,18,0.55,MassCoral
3701.58,2.34,236.7,19,0.54,MassCoral
3713.03,2.32,220.5,20,0.53,MassCoral
3781.96,2.45,193.6,12,0.54,MassCoral
4023.51,2.52,189.2,8,0.58,MassCoral
3747.25,2.41,120.4,15,0.45,MassCoral
4046.53,2.44,264.8,13,0.7,MassCoral
3956.36,2.47,239.5,11,0.52,MassCoral
3814.3,2.36,189.4,18,0.49,MassCoral
3825.8,2.39,161,16,0.55,MassCoral
3814.9,2.35,160.2,19,0.7,MassCoral
3781.42,2.33,165.7,20,0.72,MassCoral
3793.91,2.36,153.1,18,0.69,MassCoral
3715.04,2.27,122,23,0.64,MassCoral
3672.07,2.39,86,16,0.57,MassCoral
3704.78,2.26,64.4,24,0.54,MassCoral
3741.2,2.41,204.2,15,0.69,MassCoral
3878.35,2.38,221.2,16,0.68,MassCoral
3902.08,2.32,224,20,0.71,MassCoral
3937.62,2.34,216.5,19,0.74,MassCoral
4102.92,2.46,313.1,12,0.92,MassCoral
4166.56,2.53,334.1,8,0.81,MassCoral
4302.87,2.46,314.8,11,0.77,MassCoral
4151.22,2.44,269,13,0.72,MassCoral
4122.12,2.39,219.7,16,0.7,MassCoral
4019.33,2.19,182.5,29,0.73,MassCoral
3871.39,2.44,1291.7,13,0.67,MassCoral
3814.09,2.46,1093.5,12,0.71,MassCoral
3770.04,2.48,842.4,11,0.83,MassCoral
3792.82,2.47,612.1,11,0.81,MassCoral
3705.58,2.31,451.2,21,0.8,MassCoral
3748.69,2.36,326.3,18,0.81,MassCoral
3781.1,2.44,235.4,13,0.84,MassCoral
3896.01,2.45,196.7,12,0.88,MassCoral
3967.98,2.41,229.3,15,0.9,MassCoral
3932.28,2.42,345.4,14,0.9,MassCoral
4120.88,2.03,52.7,38,0.52,MassCoral
3949.5,2.5,895.7,9,0.41,MassCoral
3728.08,2.29,592.5,22,0.41,MassCoral
3346.36,2.16,163.7,30,0.43,MassCoral
3427.8,2.22,237.5,26,0.43,MassCoral
3390.58,2.19,388.2,29,0.44,MassCoral
3515.64,2.35,1329.3,18,0.52,MassCoral
3343.25,2.31,1242.3,21,0.54,MassCoral
2870.01,1.88,5.9,47,0.37,MassCoral
2916.18,1.92,14.4,45,0.37,MassCoral
2925.93,1.87,26.2,48,0.37,MassCoral
2969.78,1.94,33.9,44,0.36,MassCoral
3041.24,1.91,37.8,46,0.35,MassCoral
3086.5,1.92,36.4,45,0.35,MassCoral
3081.56,1.92,31.8,45,0.35,MassCoral
3054.02,1.93,26.6,45,0.35,MassCoral
3019.96,1.91,21.4,45,0.34,MassCoral
3042.54,1.9,18.7,46,0.34,MassCoral
3064.03,1.91,17.4,46,0.35,MassCoral
3139.34,1.85,17.4,49,0.36,MassCoral
3147.9,1.84,12.3,50,0.37,MassCoral
3125.24,1.84,5.2,50,0.37,MassCoral
3112.13,2.03,651.4,38,0.56,MassCoral
3172.99,2,453.8,40,0.56,MassCoral
3220.61,2.01,311.2,40,0.56,MassCoral
3294.78,2.02,209.2,39,0.53,MassCoral
3407.09,2.09,141.4,35,0.49,MassCoral
3370.35,2.04,99.5,37,0.44,MassCoral
3396.52,2.09,70.8,35,0.42,MassCoral
3093.8,1.94,5.3,44,0.4,MassCoral
3116.28,1.93,0.7,45,0.39,MassCoral
3018.06,1.98,2.1,41,0.49,MassCoral
3132.09,2.11,4.1,34,0.48,MassCoral
3176.79,2.13,3.8,32,0.47,MassCoral
3750.3,2.5,4290.1,9,0.41,MassCoral
3739.85,2.47,3817.2,11,0.41,MassCoral
3773.16,2.41,3454.1,15,0.43,MassCoral
3750.3,2.35,3149.8,19,0.45,MassCoral
3706.53,2.3,2878.5,22,0.45,MassCoral
3795.7,2.41,2089.5,15,0.5,MassCoral
3739.26,2.41,2060.6,15,0.48,MassCoral
3772.05,2.4,3072.4,15,0.51,MassCoral
3537.14,2.39,3183.1,16,0.49,MassCoral
3728.12,2.45,3094.2,13,0.46,MassCoral
3889.29,2.43,2883.5,14,0.46,MassCoral
3566.14,2.38,3332.9,16,0.58,MassCoral
3545.71,2.38,2745.5,16,0.62,MassCoral
3535.3,2.36,2114.2,18,0.61,MassCoral
3585.12,2.42,1486.5,14,0.58,MassCoral
3635.79,2.39,959.9,16,0.56,MassCoral
3604.31,2.36,635.9,18,0.57,MassCoral
3666.09,2.39,518.7,16,0.56,MassCoral
3742.2,2.44,567.5,13,0.55,MassCoral
3844.02,2.46,777.4,12,0.53,MassCoral
3975.61,2.52,1148.7,8,0.53,MassCoral
3988.71,2.5,1666.7,9,0.55,MassCoral
3353.99,2.3,3015.1,21,0.46,MassCoral
4051.46,2.58,530.6,4,0.54,MassCoral
4143.6,2.52,740.7,8,0.53,MassCoral
3636.21,2.19,928.7,28,0.56,MassCoral
3434.09,2.04,587,38,0.56,MassCoral
3196.16,1.99,54.2,41,0.5,MassCoral
3179.99,1.99,28.7,41,0.47,MassCoral
3172.7,2.01,13.1,39,0.46,MassCoral
3164.47,1.99,9.1,41,0.46,MassCoral
3284.2,2.21,135.9,27,0.59,MassCoral
3469.24,2.27,276.2,23,0.59,MassCoral
3405.46,2.25,534.2,25,0.6,MassCoral
3573.87,2.23,1260.9,26,0.65,MassCoral
3910.52,2.3,681.9,21,0.51,MassCoral
3851.7,2.33,444.7,20,0.51,MassCoral
4043.15,2.36,253.5,18,0.51,MassCoral
4149.46,2.3,126.9,22,0.52,MassCoral
4122.37,2.27,55.9,23,0.54,MassCoral
4487.84,2.46,153.9,12,0.6,MassCoral
4052.53,2.53,967.3,8,0.51,MassCoral
4169.88,2.51,1132.8,8,0.5,MassCoral
4039.9,2.37,1373.4,17,0.49,MassCoral
4051.75,2.5,471.8,9,0.53,MassCoral
4182.75,2.5,605.1,9,0.49,MassCoral
4092.51,2.46,900.8,11,0.45,MassCoral
3307.89,2.33,893,20,0.66,Microbialite
3441.95,2.22,860.1,27,0.62,Microbialite
3417.2,2.25,766.3,25,0.58,Microbialite
3264.44,2.2,661.3,28,0.54,Microbialite
3451.04,2.25,604.5,25,0.53,Microbialite
3201.59,2.09,1038.9,34,0.45,Microbialite
3146.9,2.05,1120.5,37,0.42,Microbialite
3108.97,2.16,1291,30,0.5,Microbialite
3079.75,2.18,1306.3,29,0.49,Microbialite
3138.75,2.17,1061.9,30,0.55,Microbialite
3100.53,2.16,993.3,30,0.51,Microbialite
3329.89,2.25,906.1,25,0.46,Microbialite
3368.78,2.22,799.4,26,0.46,Microbialite
4173.97,2.46,661.9,12,0.92,Microbialite
3612.28,2.41,1392.3,15,0.67,Microbialite
3663.6,2.36,1229.4,18,0.73,Microbialite
3808.24,2.39,1217.6,16,0.69,Microbialite
3762.69,2.28,1087.9,23,0.67,Microbialite
3571.11,2.34,498.9,19,0.31,Microbialite
3644.5,2.34,481.6,19,0.35,Microbialite
3476.22,2.13,420.5,32,0.46,Microbialite
3315.79,2.18,275.5,29,0.58,Microbialite
3339.97,2.13,164.4,32,0.4,Microbialite
3314.97,2.15,162.2,31,0.38,Microbialite
3591.91,2.29,250.5,22,0.4,Microbialite
3894.86,2.45,250.1,12,0.6,Microbialite
3948.3,2.44,276.7,13,0.6,Microbialite
3987.07,2.31,296.3,21,0.64,Microbialite
3898.13,2.27,311.8,23,0.7,Microbialite
3705.28,2.21,314.5,27,0.76,Microbialite
3625.63,2.3,299.6,22,0.89,Microbialite
3795.76,2.23,321,26,0.97,Microbialite
3954.57,2.43,423.7,13,0.97,Microbialite
3990.09,2.47,449.4,11,0.83,Microbialite
3914.84,2.45,433.5,12,0.7,Microbialite
3820.07,2.37,410.7,17,0.72,Microbialite
3741.71,2.18,412.2,29,0.86,Microbialite
3804.03,2.23,469.1,26,0.98,Microbialite
3716.6,2.3,495.7,21,0.99,Microbialite
3833.93,2.44,478.6,13,1.02,Microbialite
3962.32,2.41,467.8,15,1.03,Microbialite
3818.34,2.33,472,20,0.96,Microbialite
3704.87,2.2,423.9,27,0.74,Microbialite
3907.75,2.42,484.5,14,0.74,Microbialite
3756.32,2.31,516.9,21,0.67,Microbialite
3825.06,2.4,511.8,15,0.68,Microbialite
3746.97,2.19,375.7,29,0.7,Microbialite
3931.47,2.32,496.3,20,0.6,Microbialite
3993.52,2.42,492.2,14,0.6,Microbialite
3879.33,2.32,232.3,20,0.56,Microbialite
4012.98,2.25,267.6,24,0.56,Microbialite
4090.84,2.43,335.7,13,0.5,Microbialite
3530.55,2.23,484,26,0.66,Microbialite
3583.94,2.21,508.9,27,0.6,Microbialite
3816.64,2.38,351.2,17,0.49,Microbialite
3826.96,2.32,400.2,20,0.48,Microbialite
3608.88,2.26,395.7,24,0.48,Microbialite
3587.41,2.37,388.5,17,0.48,Microbialite
3715.9,2.33,412.3,20,0.49,Microbialite
3804.1,2.32,461.8,20,0.49,Microbialite
3975.34,2.42,526.6,14,0.61,Microbialite
4156.93,2.45,499.3,12,0.56,Microbialite
4082.19,2.38,549.7,17,0.49,Microbialite
4018.63,2.36,542.8,18,0.49,Microbialite
3851.96,2.34,456.2,19,0.5,Microbialite
3886.27,2.36,529.4,18,0.82,Microbialite
3835.21,2.41,542.8,15,0.81,Microbialite
4039.14,2.48,537.8,10,0.95,Microbialite
3745.35,2.37,523.6,17,0.8,Microbialite
3624.66,2.24,475.4,25,0.75,Microbialite
3866.76,2.32,416.7,21,0.72,Microbialite
3831.09,2.35,372.4,18,0.71,Microbialite
3917.67,2.41,322.8,15,0.59,Microbialite
4122.62,2.53,298.9,7,0.59,Microbialite
3958.6,2.34,664.1,19,0.8,Microbialite
4086.54,2.43,620.6,14,0.77,Microbialite
3968.85,2.4,609.4,15,0.73,Microbialite
3831.71,2.38,598.7,16,0.73,Microbialite
4094.36,2.21,716.3,27,0.49,Microbialite
4117.06,2.45,755.8,12,0.55,Microbialite
4062.32,2.43,788.2,13,0.63,Microbialite
4088.55,2.38,694.1,17,0.92,Microbialite
4210.88,2.49,659.9,10,0.8,Microbialite
4182.4,2.47,653.9,11,0.67,Microbialite
4142.68,2.47,663.8,11,0.64,Microbialite
4145.3,2.49,682.1,10,0.66,Microbialite
3938.57,2.42,702.6,14,0.69,Microbialite
3984.37,2.37,726.1,17,0.67,Microbialite
4247.25,2.52,748.7,8,0.65,Microbialite
4361.74,2.57,777.4,5,0.67,Microbialite
4125.68,2.49,1082.9,10,0.6,Microbialite
4126.34,2.46,1043.6,12,0.52,Microbialite
4150.21,2.5,908.1,10,0.48,Microbialite
4191.6,2.5,771.7,9,0.46,Microbialite
4149.55,2.5,668.2,9,0.47,Microbialite
3993.77,2.45,598.8,12,0.52,Microbialite
3954.31,2.46,559.3,12,0.59,Microbialite
4094.33,2.48,544.2,11,0.63,Microbialite
4216.98,2.5,550.1,9,0.6,Microbialite
4202.25,2.48,561.7,10,0.53,Microbialite
4040.58,2.46,569.5,12,0.47,Microbialite
3901.65,2.49,577.8,10,0.44,Microbialite
3878.92,2.5,472.5,9,0.46,Microbialite
4162.84,2.49,421.1,10,0.43,Microbialite
3813.23,2.41,457.7,15,0.48,Microbialite
3803.66,2.42,470.1,14,0.5,Microbialite
4033.04,2.45,520.7,12,0.53,Microbialite
4059.3,2.45,550.4,12,0.52,Microbialite
3898.32,2.45,527.3,13,0.51,Microbialite
4026.32,2.44,436.6,13,0.75,Microbialite
4089.75,2.44,451.1,13,0.77,Microbialite
3998.07,2.43,458.6,14,0.82,Microbialite
3945.99,2.37,467,18,0.83,Microbialite
3834.74,2.26,487,24,0.8,Microbialite
3696.82,2.15,517.6,31,0.78,Microbialite
3811.86,2.32,535,21,0.76,Microbialite
4175.07,2.51,474,9,0.76,Microbialite
4145.8,2.44,451.7,13,0.81,Microbialite
4078.46,2.46,441.5,12,0.86,Microbialite
4048.55,2.3,448.2,22,0.87,Microbialite
3847.89,2.38,468.4,17,0.83,Microbialite
3716.27,2.27,494.8,24,0.79,Microbialite
3786.02,2.27,546.1,23,0.78,Microbialite
4049.51,2.44,579.1,13,0.63,Microbialite
4127.98,2.46,617.3,12,0.6,Microbialite
4180.88,2.49,652.4,10,0.56,Microbialite
4147.49,2.48,658,11,0.53,Microbialite
3938.11,2.39,624.2,16,0.56,Microbialite
4033.91,2.22,449.4,26,0.49,Microbialite
4139.13,2.35,556.9,19,0.47,Microbialite
4107.23,2.4,648.3,16,0.46,Microbialite
4029.41,2.49,579.9,10,0.88,Microbialite
4202.8,2.5,616.5,9,0.97,Microbialite
4014.02,2.39,617.1,16,1.06,Microbialite
3923.32,2.44,598.6,13,1.05,Microbialite
3899.63,2.32,567,20,0.95,Microbialite
4016.57,2.45,535.3,12,0.82,Microbialite
3959.22,2.37,512.6,17,0.76,Microbialite
4112.13,2.51,489.3,9,0.84,Microbialite
3981.86,2.39,636.1,16,0.51,Microbialite
4142.95,2.45,630.1,12,0.48,Microbialite
4042.43,2.38,591.3,17,0.49,Microbialite
3824.39,2.17,539.4,30,0.49,Microbialite
4170.08,2.47,569.3,11,0.53,Microbialite
4267.45,2.54,572.7,7,0.57,Microbialite
4253.99,2.41,546.6,15,0.63,Microbialite
4143.13,2.23,524.5,26,0.67,Microbialite
4076.48,2.46,611.6,12,0.62,Microbialite
4295.5,2.53,600.1,8,0.63,Microbialite
4224.64,2.5,555.3,9,0.64,Microbialite
4075.91,2.43,500.5,14,0.65,Microbialite
3925.11,2.4,536.1,15,0.6,Microbialite
4088.24,2.45,563.9,13,0.56,Microbialite
4168.19,2.42,549.7,14,0.54,Microbialite
4128.47,2.47,495.1,11,0.57,Microbialite
3869.31,2.37,375.6,17,0.63,Microbialite
3825.84,2.25,561.1,25,0.49,Microbialite
4019,2.46,501.5,12,0.46,Microbialite
4206.12,2.45,519.7,12,0.49,Microbialite
4068.86,2.38,529.5,17,0.53,Microbialite
3844.83,2.35,553.9,19,0.59,Microbialite
3721.6,2.39,661.4,16,0.59,Microbialite
3776.58,2.4,710.8,15,0.56,Microbialite
3882.08,2.42,743.1,14,0.54,Microbialite
3991.1,2.47,768.3,11,0.54,Microbialite
4120.54,2.5,786.2,9,0.53,Microbialite
4218.08,2.49,791.1,10,0.53,Microbialite
4275.12,2.5,768.7,9,0.52,Microbialite
4261.39,2.51,717.1,9,0.52,Microbialite
3897.05,2.41,539.3,15,0.52,Microbialite
4045.91,2.47,565.4,11,0.5,Microbialite
4158.67,2.53,576.1,7,0.51,Microbialite
4272.11,2.51,551.2,8,0.51,Microbialite
4070.66,2.38,681.5,17,0.59,Microbialite
4163.51,2.38,663.2,16,0.52,Microbialite
3515.2,2.39,560.4,16,0.5,Microbialite
3299.37,2.25,765.8,25,0.42,Microbialite
3309.3,2.3,679,21,0.44,Microbialite
3385.81,2.37,613.2,17,0.46,Microbialite
3426.04,2.38,860.8,17,0.46,Microbialite
3653.67,2.43,731.4,13,0.46,Microbialite
3740.61,2.4,630,16,0.47,Microbialite
3684.79,2.33,520.3,19,0.5,Microbialite
3653.52,2.38,579.9,17,0.46,Microbialite
3756.92,2.4,585.1,15,0.45,Microbialite
3743.55,2.45,584.8,12,0.46,Microbialite
3757.97,2.43,573.7,14,0.47,Microbialite
3870.26,2.31,513.8,21,0.49,Microbialite
4078.12,2.44,559.1,13,0.51,Microbialite
4156.02,2.5,577.7,9,0.5,Microbialite
4182.24,2.49,575.4,10,0.52,Microbialite
4021.67,2.37,565.8,18,0.54,Microbialite
3994.3,2.48,569.4,10,0.54,Microbialite
3906.44,2.31,564.9,21,0.53,Microbialite
3957.34,2.48,532.4,10,0.52,Microbialite
4180.92,2.47,515.9,11,0.52,Microbialite
4112.78,2.42,498.3,14,0.5,Microbialite
3589.31,2.25,320.8,25,0.62,Microbialite
3925.26,2.37,531.6,17,0.45,Microbialite
3949.06,2.35,517.4,19,0.46,Microbialite
3668.35,2.3,589.9,21,0.51,Microbialite
3853.01,2.34,548,19,0.51,Microbialite
3988.41,2.41,511.8,15,0.49,Microbialite
4055.76,2.45,487.6,12,0.44,Microbialite
3969.68,2.24,481.9,25,0.4,Microbialite
3884.8,2.36,915.1,18,0.51,Microbialite
3723.54,2.4,511.7,15,0.47,Microbialite
3880.05,2.39,481.3,16,0.48,Microbialite
3988.85,2.36,453.8,18,0.47,Microbialite
3867.79,2.36,404.8,18,0.6,Microbialite
4010.6,2.43,375.3,14,0.57,Microbialite
4112.53,2.41,342.7,15,0.56,Microbialite
3816.46,2.34,446.9,19,0.92,Microbialite
3643.87,2.29,533.2,22,0.87,Microbialite
3985.18,2.43,520.5,14,0.43,Microbialite
3781.27,2.3,495.4,22,0.49,Microbialite
3930.47,2.36,503,18,0.47,Microbialite
4066.92,2.46,464.9,12,0.92,Microbialite
3952.29,2.47,580,11,0.49,Microbialite
4070.11,2.42,587.1,14,0.57,Microbialite
3799.29,2.39,683.6,16,0.58,Microbialite
3856.54,2.43,642.3,13,0.62,Microbialite
3755.28,2.32,469.1,20,0.42,Microbialite
3894.16,2.3,460.4,22,0.42,Microbialite
3807.72,2.24,658.2,25,0.49,Microbialite
3783.7,2.3,689.1,22,0.5,Microbialite
3650.67,2.24,731.6,25,0.47,Microbialite
3884.24,2.36,415.9,18,0.45,Microbialite
3825.35,2.35,439.2,18,0.49,Microbialite
4021.03,2.48,475.7,10,0.59,Microbialite
4209.47,2.51,512.2,8,0.66,Microbialite
4167.77,2.55,528.4,6,0.66,Microbialite
3923.17,2.46,586,12,0.6,Microbialite
4010.13,2.45,600,12,0.66,Microbialite
4009.5,2.46,608,12,0.65,Microbialite
3971.77,2.38,610.8,16,0.59,Microbialite
3850.97,2.29,594,22,0.54,Microbialite
4162.61,2.39,528.1,16,0.46,Microbialite
4269.78,2.49,601.1,10,0.5,Microbialite
4359.56,2.53,659.6,7,0.55,Microbialite
4448.2,2.49,681.6,10,0.6,Microbialite
4172.01,2.5,574.5,9,0.74,Microbialite
4269.75,2.53,505.5,8,0.69,Microbialite
4198.82,2.46,431.1,12,0.68,Microbialite
4021,2.43,586.3,13,0.96,Microbialite
4253.33,2.5,423.4,9,1,Microbialite
4225.23,2.48,461.4,11,1.02,Microbialite
4038.51,2.39,456,16,1.02,Microbialite
4209.35,2.58,400.9,4,1.02,Microbialite
4474.46,2.57,339,5,1.09,Microbialite
4034.09,2.39,608.5,16,0.54,Microbialite
3925.11,2.45,332.2,12,0.58,Microbialite
3785.08,2.33,325.6,20,0.63,Microbialite
3841.95,2.46,596.8,12,0.56,Microbialite
4140.54,2.51,598.8,9,0.56,Microbialite
4207.37,2.51,583,9,0.58,Microbialite
4207.37,2.54,550.4,7,0.6,Microbialite
4208.03,2.39,517.5,16,0.63,Microbialite
4033.46,2.39,494.4,16,0.66,Microbialite
4111.97,2.5,474.4,9,0.67,Microbialite
4166.23,2.42,457.2,14,0.66,Microbialite
3935.35,2.32,440.2,20,0.65,Microbialite
3752.76,2.39,504.2,16,1,Microbialite
3912.07,2.43,500.9,14,1.05,Microbialite
4034.4,2.39,482.3,16,1.04,Microbialite
3709.77,2.24,746.8,25,0.47,Microbialite
3958.85,2.45,760.8,12,0.47,Microbialite
3995.59,2.46,756.3,12,0.47,Microbialite
3994.97,2.45,722.6,12,0.48,Microbialite
4098.13,2.52,676.9,8,0.54,Microbialite
3860.71,2.44,559.9,13,0.65,Microbialite
3792.71,2.37,494.3,17,0.64,Microbialite
4007.58,2.45,516.7,12,0.47,Microbialite
4097.48,2.49,691,10,0.49,Microbialite
4234.16,2.54,752.1,7,0.47,Microbialite
4291.41,2.51,753.5,9,0.49,Microbialite
4121.51,2.35,702,19,0.5,Microbialite
3917.23,2.39,597.3,16,0.52,Microbialite
4065.04,2.41,712,15,0.57,Microbialite
4209.84,2.46,763.9,12,0.57,Microbialite
4099.75,2.3,738.6,22,0.65,Microbialite
3749.14,2.37,545.8,17,0.53,Microbialite
3827.63,2.36,568.8,18,0.57,Microbialite
3801.64,2.42,561.1,14,0.64,Microbialite
4083.97,2.39,529.8,16,0.71,Microbialite
4169.79,2.22,480,26,0.71,Microbialite
3980.79,2.32,949.6,20,0.48,Microbialite
4147.84,2.46,851.1,12,0.5,Microbialite
4253.15,2.4,1137.4,15,0.58,Microbialite
4209.32,2.46,1126.2,12,0.59,Microbialite
4235.8,2.5,979.6,9,0.63,Microbialite
4167.64,2.4,813.5,15,0.67,Microbialite
3879.69,2.41,1086.2,15,0.7,Microbialite
4063.33,2.39,1077.9,16,0.63,Microbialite
4210.63,2.47,975.2,11,0.59,Microbialite
4237.78,2.56,802,5,0.58,Microbialite
4310.65,2.55,434.3,6,0.48,Microbialite
4325.22,2.51,411.9,9,0.55,Microbialite
4011.92,2.39,383,16,0.64,Microbialite
4425.21,2.54,315.1,7,0.47,Microbialite
4424.52,2.54,335.7,7,0.51,Microbialite
4218.63,2.44,334.6,13,0.54,Microbialite
4248.88,2.41,397.8,15,0.46,Microbialite
4346.99,2.53,344.3,7,0.82,Microbialite
4374.83,2.49,358.5,10,0.78,Microbialite
4288.41,2.51,328.4,9,0.71,Microbialite
4097.81,2.42,309.3,14,0.73,Microbialite
3910.38,2.4,473.8,16,0.61,Microbialite
4034.2,2.47,453.9,11,0.59,Microbialite
3946.72,2.28,429.9,23,0.57,Microbialite
4210.7,2.54,192.5,7,0.32,Microbialite
4142.95,2.55,174.6,6,0.29,Microbialite
3902.08,2.58,326,5,0.32,Microbialite
3926.72,2.37,427.2,17,0.35,Microbialite
3902.69,2.38,499.1,16,0.37,Microbialite
4170.7,2.5,491.5,9,0.37,Microbialite
3937.23,2.35,304.8,18,0.62,Microbialite
4116.96,2.31,331.9,21,0.62,Microbialite
4064.14,2.31,341,21,0.62,Microbialite
3841.12,2.34,337.1,19,0.63,Microbialite
4154.94,2.39,745.6,16,0.61,Microbialite
4294.86,2.49,605.7,10,0.61,Microbialite
4072.37,2.38,559.6,17,0.44,Microbialite
4008.67,2.22,444.8,26,0.47,Microbialite
4151.38,2.43,393.9,14,0.46,Microbialite
4426.91,2.48,436.1,10,0.51,Microbialite
4284.68,2.43,421.3,14,0.53,Microbialite
4450.98,2.51,653.2,8,0.9,Microbialite
4309.11,2.49,293.3,10,1,Microbialite
4097.55,2.39,424,16,0.93,Microbialite
4111.74,2.47,432,11,0.92,Microbialite
4198.84,2.47,612,11,0.7,Microbialite
4094.1,2.4,530.9,15,0.69,Microbialite
3898.45,2.34,436.7,19,0.73,Microbialite
3910.39,2.45,451.3,12,0.31,Microbialite
3967.86,2.44,346.3,13,0.44,Microbialite
4015.96,2.47,280.2,11,0.45,Microbialite
3850.52,2.43,1417.3,14,0.52,Microbialite
4194.81,2.47,1365.7,11,0.53,Microbialite
4222.22,2.52,1368.4,8,0.56,Microbialite
4048.11,2.42,1386.3,14,0.61,Microbialite
3926.66,2.46,1399.5,12,0.63,Microbialite
3666.28,2.37,1597.3,17,0.52,Microbialite
3762.21,2.44,1535.5,13,0.53,Microbialite
3761.04,2.41,1432.7,15,0.54,Microbialite
3898.11,2.49,1306.7,10,0.56,Microbialite
3957.87,2.47,1195.6,11,0.58,Microbialite
3838.94,2.36,1118.6,18,0.57,Microbialite
3611.08,2.45,1092.7,12,0.56,Microbialite
3604.28,2.4,1110.2,15,0.55,Microbialite
3510.97,2.38,1141.1,17,0.53,Microbialite
3543.39,2.41,1149.6,15,0.52,Microbialite
3764.67,2.4,1130.2,15,0.52,Microbialite
3681.77,2.38,1129.2,17,0.53,Microbialite
3634.26,2.4,1173.4,15,0.54,Microbialite
3701.55,2.42,1218.6,14,0.52,Microbialite
3772.38,2.46,1227.2,12,0.51,Microbialite
3878.01,2.38,1233.9,17,0.53,Microbialite
3525.69,2.37,1487.6,17,0.47,Microbialite
3425.49,2.36,1226.9,18,0.53,Microbialite
3904.45,2.43,1037,14,0.61,Microbialite
3798.71,2.42,1125.2,14,0.61,Microbialite
3625.49,2.36,1227.3,18,0.56,Microbialite
3696.12,2.45,1330.2,12,0.51,Microbialite
3954.85,2.44,1389.6,13,0.5,Microbialite
3907.17,2.46,1383.7,12,0.51,Microbialite
3966.34,2.5,1379.7,9,0.54,Microbialite
3660.83,2.38,1675,16,0.48,Microbialite
3811.65,2.43,1551.8,13,0.49,Microbialite
3811.65,2.38,1405.7,16,0.51,Microbialite
3702.12,2.35,1134.9,19,0.52,Microbialite
3734.72,2.41,1139.6,15,0.55,Microbialite
3734.72,2.38,1154.7,17,0.57,Microbialite
3599.22,2.34,1174.2,19,0.58,Microbialite
